scene_num,gloss_cat,specular_magnitude,specular_concentration,bump_height,albedo_r,albedo_g,albedo_b,camera_x,camera_z,rot_camera,skybox
scene000001,0,0.189,0.207,013.78,0.480,0.369,0.690,-01.25,-000.4,-161.5,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000002,0,0.167,0.352,032.95,0.378,0.468,0.577,-07.75,-008.7,114.0,GareoultWhiteBalanced (UnityEngine.Material)
scene000003,0,0.122,0.318,068.72,0.460,0.537,0.448,07.93,-000.3,108.0,UniteWhiteBalanced (UnityEngine.Material)
scene000004,1,0.396,0.765,079.30,0.323,0.617,0.618,01.16,-008.3,140.7,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene000005,1,0.450,0.896,033.17,0.527,0.532,0.622,-07.52,-001.2,005.7,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene000006,0,0.198,0.276,057.16,0.462,0.694,0.608,04.30,000.2,-043.6,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene000007,0,0.103,0.247,063.62,0.336,0.630,0.339,02.65,-004.4,-107.7,UniteWhiteBalanced (UnityEngine.Material)
scene000008,0,0.286,0.391,007.38,0.384,0.564,0.462,-09.07,008.7,-102.5,GareoultWhiteBalanced (UnityEngine.Material)
scene000009,0,0.102,0.359,034.36,0.586,0.697,0.469,04.36,005.4,071.5,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene000010,0,0.260,0.216,003.84,0.501,0.368,0.508,-07.94,007.6,026.7,GareoultWhiteBalanced (UnityEngine.Material)
scene000011,0,0.281,0.239,085.74,0.638,0.532,0.612,-05.48,001.9,069.1,UniteWhiteBalanced (UnityEngine.Material)
scene000012,0,0.209,0.351,015.49,0.464,0.577,0.612,-09.58,008.5,-048.8,UniteWhiteBalanced (UnityEngine.Material)
scene000013,0,0.145,0.392,015.51,0.694,0.356,0.543,-04.41,-004.5,-024.0,UniteWhiteBalanced (UnityEngine.Material)
scene000014,0,0.107,0.381,012.71,0.622,0.526,0.406,-07.53,-007.1,-092.8,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene000015,0,0.185,0.363,053.81,0.649,0.573,0.499,03.16,007.7,097.3,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000016,1,0.429,0.821,081.83,0.434,0.588,0.457,-07.89,-000.9,-167.8,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
